时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩,指标单位
2019-04-18,日,1056056.00000000,113131.00000000,126131.00000000,634395.00000000,7644.00000000,86644.00000000,88111.00000000,MWh
2019-04-19,日,1074609.00000000,118805.00000000,124826.00000000,642860.00000000,7004.00000000,92733.00000000,88381.00000000,MWh
2019-04-20,日,1099081.00000000,119608.00000000,124491.00000000,662522.00000000,6985.00000000,95530.00000000,89945.00000000,MWh
2019-04-21,日,1072459.00000000,123141.00000000,124825.00000000,633780.00000000,7165.00000000,94934.00000000,88614.00000000,MWh
2019-04-22,日,1091080.00000000,125615.00000000,122108.00000000,648051.00000000,6603.00000000,97727.00000000,90976.00000000,MWh
2019-04-23,日,1125964.00000000,128639.00000000,119892.00000000,683745.00000000,6376.00000000,96039.00000000,91273.00000000,MWh
2019-04-24,日,1157799.00000000,115957.00000000,123919.00000000,704676.00000000,6678.00000000,116089.00000000,90480.00000000,MWh
2019-04-25,日,1268232.00000000,121913.00000000,134751.00000000,774596.00000000,7297.00000000,138369.00000000,91306.00000000,MWh
2019-04-26,日,1243653.00000000,123460.00000000,132506.00000000,761279.00000000,6334.00000000,128955.00000000,91119.00000000,MWh
2019-04-27,日,1197282.00000000,121917.00000000,129475.00000000,732572.00000000,6017.00000000,122426.00000000,84875.00000000,MWh
2019-04-28,日,1191173.00000000,125359.00000000,129384.00000000,723915.00000000,6202.00000000,126201.00000000,80112.00000000,MWh
2019-04-29,日,1265714.00000000,127895.00000000,123728.00000000,762881.00000000,5943.00000000,159650.00000000,85617.00000000,MWh
2019-04-30,日,1277193.00000000,130871.00000000,126002.00000000,788843.00000000,5630.00000000,162191.00000000,63656.00000000,MWh
2019-05-01,日,1011589.00000000,126707.00000000,88332.00000000,599726.00000000,5115.00000000,153600.00000000,38109.00000000,MWh
2019-05-02,日,1092767.00000000,124862.00000000,95359.00000000,665179.00000000,4718.00000000,169693.00000000,32956.00000000,MWh
2019-05-03,日,1241300.00000000,123423.00000000,97726.00000000,687361.00000000,3983.00000000,171556.00000000,157251.00000000,MWh
2019-05-04,日,1202802.00000000,118024.00000000,101712.00000000,757890.00000000,4270.00000000,175404.00000000,45502.00000000,MWh
2019-05-05,日,1193000.00000000,124234.00000000,103397.00000000,750464.00000000,7325.00000000,172067.00000000,35513.00000000,MWh
2019-05-06,日,1235613.00000000,121502.00000000,93772.00000000,779247.00000000,6292.00000000,178096.00000000,56704.00000000,MWh
2019-05-07,日,1241397.00000000,129182.00000000,94636.00000000,773256.00000000,6471.00000000,181653.00000000,56199.00000000,MWh
2019-05-08,日,1275036.00000000,135424.00000000,89601.00000000,809409.00000000,7386.00000000,181640.00000000,51576.00000000,MWh
2019-05-09,日,1277678.00000000,135728.00000000,90135.00000000,802174.00000000,5843.00000000,182370.00000000,61428.00000000,MWh
2019-05-10,日,1284102.00000000,131003.00000000,97517.00000000,800955.00000000,7970.00000000,186940.00000000,59717.00000000,MWh
2019-05-11,日,1240748.00000000,134303.00000000,97725.00000000,760304.00000000,8048.00000000,183218.00000000,57150.00000000,MWh
2019-05-12,日,1154664.00000000,129550.00000000,95643.00000000,704189.00000000,8317.00000000,160879.00000000,56086.00000000,MWh
2019-05-13,日,1218909.00000000,124893.00000000,97998.00000000,757697.00000000,9018.00000000,161290.00000000,68013.00000000,MWh
