时间,时间维度,南方电网,广东,广西,云南,海南,贵州,广州,深圳,指标单位
2020-11-19,日,3516102.00000000,1997309.00000000,460820.00000000,556555.00000000,84207.00000000,387267.00000000,276961.00000000,285805.00000000,MWh
2020-11-20,日,3557040.00000000,2033425.00000000,464204.00000000,554790.00000000,85442.00000000,389650.00000000,282580.00000000,291141.00000000,MWh
2020-11-21,日,3483409.00000000,1937632.00000000,463343.00000000,576250.00000000,84474.00000000,397920.00000000,269388.00000000,268960.00000000,MWh
2020-11-22,日,3328293.00000000,1789481.00000000,456387.00000000,557656.00000000,84075.00000000,418813.00000000,251314.00000000,245199.00000000,MWh
2020-11-23,日,3422945.00000000,1856356.00000000,455571.00000000,564736.00000000,84458.00000000,439246.00000000,249872.00000000,263099.00000000,MWh
2020-11-24,日,3448319.00000000,1875247.00000000,460323.00000000,561714.00000000,83111.00000000,443929.00000000,247825.00000000,265732.00000000,MWh
2020-11-25,日,3472065.00000000,1886948.00000000,462731.00000000,563900.00000000,82893.00000000,452128.00000000,252910.00000000,267545.00000000,MWh
2020-11-26,日,3492867.00000000,1898249.00000000,462655.00000000,567134.00000000,81841.00000000,461938.00000000,255938.00000000,270728.00000000,MWh
2020-11-27,日,3450834.00000000,1849616.00000000,460380.00000000,569697.00000000,82429.00000000,468616.00000000,246453.00000000,259679.00000000,MWh
2020-11-28,日,3367500.00000000,1764847.00000000,464639.00000000,568762.00000000,80146.00000000,470486.00000000,233380.00000000,238953.00000000,MWh
2020-11-29,日,3207992.00000000,1611414.00000000,462881.00000000,569910.00000000,78727.00000000,467484.00000000,216976.00000000,207771.00000000,MWh
2020-11-30,日,3291637.00000000,1697911.00000000,459913.00000000,569141.00000000,75590.00000000,470551.00000000,231819.00000000,232630.00000000,MWh
2020-12-01,日,3315920.00000000,1728147.00000000,461870.00000000,560336.00000000,74584.00000000,472792.00000000,231489.00000000,241554.00000000,MWh
2020-12-02,日,3410835.00000000,1796021.00000000,466339.00000000,563152.00000000,79156.00000000,488125.00000000,238634.00000000,244960.00000000,MWh
2020-12-03,日,3427125.00000000,1799509.00000000,472411.00000000,566582.00000000,79067.00000000,493181.00000000,239520.00000000,245126.00000000,MWh
2020-12-04,日,3470829.00000000,1803093.00000000,485930.00000000,585857.00000000,78946.00000000,499179.00000000,242316.00000000,244898.00000000,MWh
2020-12-05,日,3453541.00000000,1807713.00000000,491051.00000000,569592.00000000,73408.00000000,494898.00000000,237080.00000000,236294.00000000,MWh
2020-12-06,日,3396449.00000000,1752132.00000000,486722.00000000,563425.00000000,78395.00000000,498107.00000000,222857.00000000,212207.00000000,MWh
2020-12-07,日,3493915.00000000,1818172.00000000,488950.00000000,584991.00000000,79267.00000000,502752.00000000,238664.00000000,238006.00000000,MWh
2020-12-08,日,3467133.00000000,1797257.00000000,490952.00000000,578747.00000000,79283.00000000,500018.00000000,242014.00000000,245040.00000000,MWh
2020-12-09,日,3531377.00000000,1862818.00000000,491594.00000000,571787.00000000,79606.00000000,502891.00000000,242766.00000000,245828.00000000,MWh
2020-12-10,日,3507436.00000000,1834601.00000000,489155.00000000,578234.00000000,80392.00000000,501749.00000000,242647.00000000,248204.00000000,MWh
2020-12-11,日,3518901.00000000,1853276.00000000,487317.00000000,580848.00000000,81801.00000000,496239.00000000,242964.00000000,250306.00000000,MWh
2020-12-12,日,3476775.00000000,1823886.00000000,480401.00000000,580602.00000000,81277.00000000,507778.00000000,235247.00000000,240519.00000000,MWh
2020-12-13,日,3353248.00000000,1711069.00000000,481475.00000000,570532.00000000,81329.00000000,500327.00000000,220775.00000000,215581.00000000,MWh
2020-12-14,日,3482857.00000000,1796650.00000000,494555.00000000,580730.00000000,83858.00000000,514547.00000000,241799.00000000,239917.00000000,MWh
2020-12-15,日,3581280.00000000,1847815.00000000,526868.00000000,581582.00000000,82564.00000000,527482.00000000,252519.00000000,246313.00000000,MWh
2020-12-16,日,3662746.00000000,1909659.00000000,542813.00000000,582507.00000000,81645.00000000,532229.00000000,254820.00000000,249830.00000000,MWh
2020-12-17,日,3704698.00000000,1925596.00000000,560883.00000000,583438.00000000,83035.00000000,538747.00000000,262844.00000000,253322.00000000,MWh
2020-12-18,日,3684063.00000000,1904632.00000000,555722.00000000,591690.00000000,84089.00000000,535676.00000000,260304.00000000,250727.00000000,MWh
2020-12-19,日,3636368.00000000,1874177.00000000,538161.00000000,602282.00000000,83839.00000000,526728.00000000,256457.00000000,244707.00000000,MWh
2020-12-20,日,3487497.00000000,1758045.00000000,513579.00000000,605263.00000000,82576.00000000,520012.00000000,241745.00000000,223895.00000000,MWh
2020-12-21,日,3551581.00000000,1839063.00000000,503719.00000000,604745.00000000,82747.00000000,511414.00000000,252032.00000000,244138.00000000,MWh
2020-12-22,日,3625021.00000000,1896216.00000000,507887.00000000,611443.00000000,83273.00000000,514467.00000000,253700.00000000,249469.00000000,MWh
2020-12-23,日,3627437.00000000,1908408.00000000,509854.00000000,602436.00000000,80953.00000000,513809.00000000,248039.00000000,248190.00000000,MWh
2020-12-24,日,3588876.00000000,1893571.00000000,497821.00000000,602026.00000000,83256.00000000,509133.00000000,245856.00000000,248109.00000000,MWh
2020-12-25,日,3559137.00000000,1875199.00000000,497588.00000000,586400.00000000,84154.00000000,504999.00000000,247347.00000000,247590.00000000,MWh
2020-12-26,日,3521577.00000000,1840264.00000000,495243.00000000,586946.00000000,82877.00000000,505242.00000000,238499.00000000,239055.00000000,MWh
2020-12-27,日,3435566.00000000,1777519.00000000,489145.00000000,580998.00000000,82362.00000000,497082.00000000,225789.00000000,220054.00000000,MWh
2020-12-28,日,3454924.00000000,1816622.00000000,474480.00000000,581188.00000000,82337.00000000,490628.00000000,239690.00000000,240711.00000000,MWh
2020-12-29,日,3499577.00000000,1841110.00000000,475568.00000000,584712.00000000,83253.00000000,504533.00000000,243288.00000000,246786.00000000,MWh
2020-12-30,日,3512247.00000000,1824538.00000000,472406.00000000,606033.00000000,82616.00000000,519819.00000000,242566.00000000,240035.00000000,MWh
2020-12-31,日,3438232.00000000,1738613.00000000,489903.00000000,598213.00000000,83365.00000000,522047.00000000,240813.00000000,231208.00000000,MWh
2021-01-01,日,3034019.00000000,1424721.00000000,464360.00000000,578648.00000000,78778.00000000,488457.00000000,206352.00000000,177337.00000000,MWh
2021-01-02,日,3261963.00000000,1631850.00000000,483892.00000000,568442.00000000,81162.00000000,496191.00000000,221565.00000000,197508.00000000,MWh
2021-01-03,日,3459665.00000000,1787186.00000000,490011.00000000,586472.00000000,82961.00000000,510441.00000000,236665.00000000,221115.00000000,MWh
2021-01-04,日,3549865.00000000,1884093.00000000,494559.00000000,575873.00000000,84068.00000000,516297.00000000,246737.00000000,241473.00000000,MWh
2021-01-05,日,3583751.00000000,1899451.00000000,489131.00000000,583521.00000000,84020.00000000,522102.00000000,247503.00000000,246286.00000000,MWh
2021-01-06,日,3610320.00000000,1906045.00000000,501645.00000000,582642.00000000,83617.00000000,529290.00000000,249258.00000000,247665.00000000,MWh
2021-01-07,日,3743919.00000000,1957606.00000000,553416.00000000,585912.00000000,84639.00000000,543101.00000000,259763.00000000,251667.00000000,MWh
2021-01-08,日,3889035.00000000,2071177.00000000,561757.00000000,608958.00000000,87639.00000000,539768.00000000,278572.00000000,266002.00000000,MWh
2021-01-09,日,3831467.00000000,2039323.00000000,556961.00000000,603881.00000000,87538.00000000,533023.00000000,272866.00000000,260653.00000000,MWh
2021-01-10,日,3716263.00000000,1936551.00000000,544584.00000000,608960.00000000,87911.00000000,530160.00000000,263305.00000000,242749.00000000,MWh
2021-01-11,日,3879363.00000000,2081967.00000000,539954.00000000,623230.00000000,91507.00000000,534505.00000000,286440.00000000,268253.00000000,MWh
2021-01-12,日,3825931.00000000,2057300.00000000,528578.00000000,623922.00000000,89865.00000000,508886.00000000,280155.00000000,268869.00000000,MWh
2021-01-13,日,3750072.00000000,2020509.00000000,523876.00000000,606536.00000000,89742.00000000,502549.00000000,271706.00000000,266068.00000000,MWh
2021-01-14,日,3686730.00000000,1983666.00000000,509801.00000000,601298.00000000,86426.00000000,493191.00000000,263748.00000000,263725.00000000,MWh
2021-01-15,日,3599594.00000000,1935226.00000000,501712.00000000,596223.00000000,84178.00000000,468133.00000000,253880.00000000,257136.00000000,MWh
2021-01-16,日,3523523.00000000,1856336.00000000,487374.00000000,595932.00000000,82387.00000000,492648.00000000,241014.00000000,246604.00000000,MWh
2021-01-17,日,3394958.00000000,1701676.00000000,484077.00000000,617329.00000000,82504.00000000,508229.00000000,228623.00000000,228340.00000000,MWh
2021-01-18,日,3543516.00000000,1865712.00000000,494778.00000000,600037.00000000,82424.00000000,494933.00000000,246184.00000000,248403.00000000,MWh
2021-01-19,日,3523216.00000000,1866387.00000000,491105.00000000,598441.00000000,82684.00000000,478772.00000000,247396.00000000,252101.00000000,MWh
2021-01-20,日,3503464.00000000,1858480.00000000,474765.00000000,596659.00000000,82404.00000000,484835.00000000,243360.00000000,249698.00000000,MWh
2021-01-21,日,3460442.00000000,1829196.00000000,473030.00000000,587940.00000000,81745.00000000,491531.00000000,239796.00000000,249006.00000000,MWh
