时间,时间维度,南方电网,广东,广西,云南,广州,深圳,海南,贵州,指标单位
2021-04-03,日,161307.00000000,91598.00000000,22491.00000000,25760.00000000,12503.00000000,12023.00000000,4696.00000000,18882.00000000,MWh
2021-04-04,日,135867.00000000,72263.00000000,20231.00000000,25556.00000000,10251.00000000,9707.00000000,4515.00000000,19050.00000000,MWh
2021-04-05,日,158897.00000000,85519.00000000,22173.00000000,26518.00000000,11544.00000000,11203.00000000,4623.00000000,20809.00000000,MWh
2021-04-06,日,173780.00000000,100052.00000000,22986.00000000,26808.00000000,13606.00000000,14133.00000000,4553.00000000,20667.00000000,MWh
2021-04-07,日,172014.00000000,99829.00000000,23283.00000000,25367.00000000,13653.00000000,13848.00000000,4671.00000000,20543.00000000,MWh
2021-04-08,日,172254.00000000,98967.00000000,22883.00000000,26029.00000000,13136.00000000,13385.00000000,4701.00000000,21743.00000000,MWh
2021-04-09,日,169690.00000000,95414.00000000,23646.00000000,26235.00000000,12773.00000000,12695.00000000,4528.00000000,22591.00000000,MWh
2021-04-10,日,168420.00000000,94209.00000000,23275.00000000,26075.00000000,12574.00000000,12491.00000000,4542.00000000,21059.00000000,MWh
2021-04-11,日,162935.00000000,89121.00000000,23315.00000000,26348.00000000,12274.00000000,11326.00000000,4533.00000000,21411.00000000,MWh
2021-04-12,日,177070.00000000,103055.00000000,23554.00000000,26471.00000000,14322.00000000,14515.00000000,4691.00000000,20530.00000000,MWh
2021-04-13,日,179526.00000000,106703.00000000,23581.00000000,26909.00000000,14844.00000000,15127.00000000,4758.00000000,20805.00000000,MWh
2021-04-14,日,177496.00000000,105813.00000000,22093.00000000,26404.00000000,14879.00000000,14989.00000000,4768.00000000,20196.00000000,MWh
2021-04-15,日,173018.00000000,101393.00000000,22679.00000000,25833.00000000,14260.00000000,13886.00000000,4872.00000000,19811.00000000,MWh
2021-04-16,日,175509.00000000,100353.00000000,22899.00000000,27738.00000000,13771.00000000,14072.00000000,4832.00000000,19649.00000000,MWh
2021-04-17,日,174010.00000000,96757.00000000,22927.00000000,29010.00000000,12728.00000000,12936.00000000,4641.00000000,19503.00000000,MWh
2021-04-18,日,158016.00000000,85497.00000000,22473.00000000,25894.00000000,11791.00000000,10851.00000000,4541.00000000,20953.00000000,MWh
2021-04-19,日,167214.00000000,97086.00000000,22519.00000000,26067.00000000,13184.00000000,13213.00000000,4797.00000000,19919.00000000,MWh
2021-04-20,日,170061.00000000,97784.00000000,22558.00000000,26225.00000000,13257.00000000,13496.00000000,4762.00000000,18655.00000000,MWh
2021-04-21,日,174515.00000000,102895.00000000,23006.00000000,26330.00000000,14093.00000000,14425.00000000,4816.00000000,18564.00000000,MWh
2021-04-22,日,176118.00000000,105774.00000000,23385.00000000,26334.00000000,14679.00000000,15069.00000000,4881.00000000,17288.00000000,MWh
2021-04-23,日,179905.00000000,109998.00000000,23577.00000000,26463.00000000,15667.00000000,15972.00000000,5006.00000000,17871.00000000,MWh
2021-04-24,日,176781.00000000,105741.00000000,23388.00000000,26392.00000000,14626.00000000,14575.00000000,5043.00000000,18159.00000000,MWh
2021-04-25,日,174562.00000000,101507.00000000,22781.00000000,27234.00000000,14629.00000000,13915.00000000,5151.00000000,18805.00000000,MWh
2021-04-26,日,172246.00000000,100954.00000000,22186.00000000,26464.00000000,13696.00000000,13872.00000000,4746.00000000,18388.00000000,MWh
2021-04-27,日,171533.00000000,101027.00000000,22398.00000000,26777.00000000,13597.00000000,13892.00000000,4687.00000000,18369.00000000,MWh
2021-04-28,日,174065.00000000,101651.00000000,22445.00000000,27085.00000000,13644.00000000,14204.00000000,4800.00000000,18457.00000000,MWh
2021-04-29,日,168297.00000000,97837.00000000,22606.00000000,26370.00000000,13138.00000000,13983.00000000,4451.00000000,17914.00000000,MWh
2021-04-30,日,165279.00000000,96207.00000000,22707.00000000,26454.00000000,13084.00000000,13841.00000000,4572.00000000,17409.00000000,MWh
2021-05-01,日,136983.00000000,69523.00000000,21746.00000000,25592.00000000,10940.00000000,9819.00000000,4585.00000000,16363.00000000,MWh
2021-05-02,日,144595.00000000,77251.00000000,21847.00000000,25584.00000000,11147.00000000,10109.00000000,4657.00000000,16598.00000000,MWh
2021-05-03,日,155580.00000000,87124.00000000,22700.00000000,25680.00000000,11825.00000000,10962.00000000,4791.00000000,16804.00000000,MWh
2021-05-04,日,170048.00000000,100829.00000000,22019.00000000,26150.00000000,13179.00000000,13704.00000000,4947.00000000,16925.00000000,MWh
2021-05-05,日,173135.00000000,103092.00000000,22210.00000000,26642.00000000,13928.00000000,14398.00000000,4985.00000000,17737.00000000,MWh
2021-05-06,日,177208.00000000,107211.00000000,23252.00000000,25885.00000000,14887.00000000,15483.00000000,5110.00000000,17479.00000000,MWh
2021-05-07,日,185282.00000000,112601.00000000,23971.00000000,26569.00000000,15921.00000000,16250.00000000,5092.00000000,17612.00000000,MWh
2021-05-08,日,187085.00000000,114556.00000000,24218.00000000,26479.00000000,16270.00000000,16734.00000000,5115.00000000,17806.00000000,MWh
2021-05-09,日,179229.00000000,107168.00000000,24203.00000000,26725.00000000,15305.00000000,14597.00000000,5125.00000000,17448.00000000,MWh
2021-05-10,日,192071.00000000,117868.00000000,25141.00000000,26173.00000000,17180.00000000,17487.00000000,5386.00000000,17325.00000000,MWh
2021-05-11,日,192984.00000000,119907.00000000,25647.00000000,25954.00000000,17543.00000000,17955.00000000,5536.00000000,17393.00000000,MWh
2021-05-12,日,195845.00000000,121163.00000000,25454.00000000,26260.00000000,17864.00000000,18409.00000000,5621.00000000,17071.00000000,MWh
2021-05-13,日,192292.00000000,122047.00000000,24329.00000000,25242.00000000,18107.00000000,18327.00000000,5715.00000000,18307.00000000,MWh
2021-05-14,日,194786.00000000,121277.00000000,25438.00000000,25832.00000000,17949.00000000,18231.00000000,5681.00000000,18030.00000000,MWh
2021-05-15,日,190748.00000000,118777.00000000,25955.00000000,25149.00000000,16868.00000000,17368.00000000,5662.00000000,18389.00000000,MWh
2021-05-16,日,186130.00000000,113672.00000000,25949.00000000,25386.00000000,16714.00000000,15382.00000000,5753.00000000,18695.00000000,MWh
2021-05-17,日,198244.00000000,124167.00000000,25198.00000000,26460.00000000,18710.00000000,19057.00000000,5980.00000000,18352.00000000,MWh
2021-05-18,日,197895.00000000,123673.00000000,24487.00000000,27342.00000000,18619.00000000,19016.00000000,5984.00000000,18586.00000000,MWh
2021-05-19,日,195440.00000000,122514.00000000,25206.00000000,25474.00000000,18383.00000000,19095.00000000,6032.00000000,18503.00000000,MWh
2021-05-20,日,194250.00000000,122082.00000000,24146.00000000,24320.00000000,18392.00000000,19321.00000000,5907.00000000,18889.00000000,MWh
2021-05-21,日,197468.00000000,123952.00000000,25452.00000000,24200.00000000,18771.00000000,19422.00000000,5994.00000000,18665.00000000,MWh
2021-05-22,日,196063.00000000,124543.00000000,25936.00000000,23781.00000000,18502.00000000,18579.00000000,5966.00000000,18647.00000000,MWh
2021-05-23,日,189956.00000000,120123.00000000,25642.00000000,23797.00000000,17997.00000000,16653.00000000,5909.00000000,18524.00000000,MWh
2021-05-24,日,192296.00000000,122120.00000000,23683.00000000,23326.00000000,18342.00000000,19345.00000000,6120.00000000,18586.00000000,MWh
2021-05-25,日,185193.00000000,117033.00000000,24358.00000000,22709.00000000,17855.00000000,18371.00000000,5618.00000000,18278.00000000,MWh
2021-05-26,日,188814.00000000,117086.00000000,25531.00000000,22698.00000000,17449.00000000,18641.00000000,5643.00000000,18611.00000000,MWh
2021-05-27,日,191300.00000000,121516.00000000,24584.00000000,22140.00000000,18164.00000000,19321.00000000,5528.00000000,18647.00000000,MWh
2021-05-28,日,194859.00000000,124399.00000000,25265.00000000,22108.00000000,18752.00000000,19611.00000000,5682.00000000,18982.00000000,MWh
2021-05-29,日,192160.00000000,121635.00000000,26148.00000000,22498.00000000,17768.00000000,18467.00000000,5714.00000000,18673.00000000,MWh
2021-05-30,日,183726.00000000,115271.00000000,24543.00000000,22438.00000000,16499.00000000,16217.00000000,5973.00000000,18906.00000000,MWh
2021-05-31,日,189948.00000000,118210.00000000,24741.00000000,22658.00000000,17681.00000000,19203.00000000,6195.00000000,18536.00000000,MWh
2021-06-01,日,182291.00000000,111449.00000000,23955.00000000,22598.00000000,16430.00000000,17745.00000000,6413.00000000,18634.00000000,MWh
2021-06-02,日,180680.00000000,110468.00000000,24027.00000000,22638.00000000,15577.00000000,17461.00000000,6473.00000000,19111.00000000,MWh
2021-06-03,日,191625.00000000,119749.00000000,25303.00000000,22954.00000000,17002.00000000,18876.00000000,6409.00000000,18286.00000000,MWh
2021-06-04,日,181746.00000000,113766.00000000,22251.00000000,22803.00000000,15369.00000000,18050.00000000,5928.00000000,18683.00000000,MWh
2021-06-05,日,175128.00000000,105430.00000000,23565.00000000,23394.00000000,13565.00000000,15496.00000000,5012.00000000,18743.00000000,MWh
2021-06-06,日,174001.00000000,103540.00000000,24009.00000000,23310.00000000,14108.00000000,14240.00000000,5120.00000000,19160.00000000,MWh
2021-06-07,日,188048.00000000,117261.00000000,25360.00000000,23241.00000000,16661.00000000,17637.00000000,5021.00000000,19052.00000000,MWh
2021-06-08,日,193117.00000000,119245.00000000,26302.00000000,23272.00000000,17040.00000000,18061.00000000,5083.00000000,19305.00000000,MWh
2021-06-09,日,193335.00000000,119786.00000000,26701.00000000,23014.00000000,17516.00000000,17796.00000000,4942.00000000,19365.00000000,MWh
2021-06-10,日,193632.00000000,121124.00000000,26240.00000000,22593.00000000,17526.00000000,18391.00000000,5088.00000000,18788.00000000,MWh
2021-06-11,日,192908.00000000,121709.00000000,25988.00000000,22161.00000000,17340.00000000,18627.00000000,4842.00000000,19089.00000000,MWh
2021-06-12,日,185014.00000000,113639.00000000,25695.00000000,23135.00000000,15837.00000000,15880.00000000,4625.00000000,19430.00000000,MWh
2021-06-13,日,173452.00000000,101327.00000000,24833.00000000,24104.00000000,14521.00000000,13899.00000000,4611.00000000,18816.00000000,MWh
2021-06-14,日,154564.00000000,84427.00000000,24474.00000000,23588.00000000,12989.00000000,12659.00000000,4665.00000000,18472.00000000,MWh
2021-06-15,日,195890.00000000,120725.00000000,26440.00000000,25011.00000000,17069.00000000,18674.00000000,5195.00000000,19630.00000000,MWh
2021-06-16,日,200867.00000000,124496.00000000,27499.00000000,25752.00000000,17733.00000000,19021.00000000,5524.00000000,20033.00000000,MWh
2021-06-17,日,206157.00000000,126707.00000000,28228.00000000,25829.00000000,18074.00000000,19539.00000000,5542.00000000,19947.00000000,MWh
2021-06-18,日,208820.00000000,130090.00000000,28862.00000000,26059.00000000,18542.00000000,19882.00000000,5595.00000000,18422.00000000,MWh
2021-06-19,日,208607.00000000,1301289.00000000,29458.00000000,26078.00000000,18369.00000000,19151.00000000,5810.00000000,19178.00000000,MWh
2021-06-20,日,199314.00000000,123208.00000000,29666.00000000,25440.00000000,17448.00000000,17370.00000000,6053.00000000,19252.00000000,MWh
2021-06-21,日,210852.00000000,131556.00000000,27318.00000000,25784.00000000,19436.00000000,20355.00000000,6254.00000000,19301.00000000,MWh
2021-06-22,日,194732.00000000,118732.00000000,27570.00000000,25503.00000000,16533.00000000,17651.00000000,6345.00000000,19574.00000000,MWh
2021-06-23,日,191879.00000000,115826.00000000,25671.00000000,24656.00000000,15983.00000000,17582.00000000,6214.00000000,19561.00000000,MWh
2021-06-24,日,187865.00000000,112399.00000000,25430.00000000,24913.00000000,15768.00000000,16198.00000000,5761.00000000,19573.00000000,MWh
2021-06-25,日,191665.00000000,115224.00000000,25336.00000000,25029.00000000,16640.00000000,16632.00000000,5723.00000000,19804.00000000,MWh
2021-06-26,日,189014.00000000,114277.00000000,25602.00000000,25010.00000000,16233.00000000,16126.00000000,5436.00000000,19603.00000000,MWh
2021-06-27,日,182428.00000000,107205.00000000,26758.00000000,25493.00000000,15688.00000000,14890.00000000,5705.00000000,18497.00000000,MWh
2021-06-28,日,194901.00000000,117886.00000000,26793.00000000,24815.00000000,17766.00000000,17256.00000000,6028.00000000,17589.00000000,MWh
2021-06-29,日,194195.00000000,120304.00000000,25416.00000000,23784.00000000,17582.00000000,17877.00000000,6002.00000000,18832.00000000,MWh
2021-06-30,日,192799.00000000,119254.00000000,24632.00000000,24559.00000000,17671.00000000,18127.00000000,6087.00000000,18488.00000000,MWh
2021-07-01,日,193225.00000000,119704.00000000,25726.00000000,24328.00000000,17777.00000000,18619.00000000,6114.00000000,18168.00000000,MWh
2021-07-02,日,199540.00000000,125368.00000000,26391.00000000,24341.00000000,18285.00000000,19079.00000000,6308.00000000,18851.00000000,MWh
2021-07-03,日,198468.00000000,124256.00000000,26603.00000000,25110.00000000,17684.00000000,18241.00000000,6162.00000000,18969.00000000,MWh
2021-07-04,日,187356.00000000,114008.00000000,26839.00000000,24600.00000000,16591.00000000,15733.00000000,5972.00000000,19693.00000000,MWh
2021-07-05,日,207377.00000000,129252.00000000,28312.00000000,26092.00000000,18905.00000000,19434.00000000,6068.00000000,19392.00000000,MWh
2021-07-06,日,208266.00000000,128849.00000000,28289.00000000,26396.00000000,19177.00000000,19127.00000000,5591.00000000,19763.00000000,MWh
2021-07-07,日,205436.00000000,127033.00000000,27853.00000000,25956.00000000,18701.00000000,18837.00000000,4968.00000000,19971.00000000,MWh
2021-07-08,日,204572.00000000,127823.00000000,27415.00000000,26051.00000000,18452.00000000,19360.00000000,5050.00000000,20024.00000000,MWh
2021-07-09,日,208304.00000000,129588.00000000,28333.00000000,26205.00000000,18692.00000000,19516.00000000,5201.00000000,19781.00000000,MWh
2021-07-10,日,202921.00000000,126580.00000000,28586.00000000,26053.00000000,17781.00000000,18322.00000000,5226.00000000,19790.00000000,MWh
2021-07-11,日,189517.00000000,113711.00000000,28599.00000000,26091.00000000,16817.00000000,15755.00000000,5286.00000000,19932.00000000,MWh
